unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790417586.110013,25934.383287929,73209652,1064556392,1316926,512
1790417587.110324,25935.383598796,73209652,1065473896,1317921,512
1790417588.110653,25936.383927772,73209652,1066392008,1318906,512
1790417589.1109822,25937.384257113,73209652,1067308760,1319899,512
1790417590.1113338,25938.384608971,73209652,1067736568,1320364,512
1790417591.111665,25939.384939917,73209652,1067736568,1320364,512
1790417592.112156,25940.385431002,73209652,1067736592,1320366,512
1790417593.112506,25941.385780694,73209652,1067736592,1320366,512
1790417594.1128857,25942.38616081,73209652,1067736592,1320366,512
1790417595.1132238,25943.386498941,73209652,1069207128,1320975,512
1790417596.113622,25944.386897034,73209652,1070112288,1321969,512
1790417597.1141624,25945.387437356,73209652,1071021360,1322962,512
1790417598.1145415,25946.387816655,73209652,1071934664,1323954,512
1790417599.1149318,25947.388206757,73209652,1072848352,1324948,512
1790417600.115252,25948.388526819,73209652,1073760912,1325939,512
1790417601.1155822,25949.388857103,73209652,1074677200,1326935,512
1790417602.1158962,25950.389171205,73209652,1075588600,1327927,512
1790417603.1161933,25951.389468178,73209652,1076503008,1328924,512
1790417604.1165156,25952.38979053,73209652,1077419016,1329917,512
1790417605.1168485,25953.39012305,73209652,1078335928,1330911,512
1790417606.1173413,25954.39061604,73209652,1079252936,1331908,512
1790417607.1177087,25955.390983498,73209652,1080170560,1332905,512
1790417608.1181707,25956.39144518,73209652,1081088032,1333902,512
1790417609.118438,25957.391712332,73209652,1082005024,1334894,512
1790417610.1188831,25958.392157382,73209652,1082920664,1335890,512
1790417611.1191852,25959.39246034,73209652,1083837448,1336884,512
1790417612.1194777,25960.392752273,73209652,1084754408,1337877,512
1790417613.1198745,25961.393149608,73209652,1085671408,1338871,512
1790417614.1202857,25962.393560833,73209652,1086586904,1339867,512
1790417615.1208107,25963.394085943,73209652,1087505728,1340866,512
1790417616.1211414,25964.394416361,73209652,1088423848,1341860,512
1790417617.121609,25965.39488342,73209652,1089341352,1342857,512
1790417618.1220257,25966.395300095,73209652,1090258896,1343851,512
1790417619.1223195,25967.395593786,73209652,1091175376,1344847,512
1790417620.1226883,25968.395962689,73209652,1092093920,1345844,512
1790417621.1229591,25969.396233986,73209652,1093010400,1346837,512
1790417622.1232007,25970.396475611,73209652,1093926880,1347830,512
1790417623.1234558,25971.396730667,73209652,1094845408,1348826,512
1790417624.1236925,25972.396967415,73209652,1095760888,1349822,512
1790417625.1240335,25973.397308195,73209652,1096677880,1350817,512
1790417626.1243188,25974.397593712,73209652,1097595744,1351814,512
1790417627.1247766,25975.39805186,73209652,1098510704,1352807,512
1790417628.1252232,25976.398498007,73209652,1099431280,1353806,512
1790417629.1256497,25977.398924638,73209652,1100347792,1354795,512
1790417630.1373932,25978.410668251,73209652,1101273808,1355795,512
1790417631.1377807,25979.411055725,73209652,1102193112,1356788,512
1790417632.1381152,25980.411390052,73209652,1103109784,1357783,512
1790417633.1384807,25981.411755691,73209652,1104027608,1358777,512
1790417634.1388962,25982.412171247,73209652,1104942952,1359769,512
1790417635.139217,25983.412491553,73209652,1105862120,1360767,512
1790417636.1394536,25984.412727932,73209652,1106779856,1361760,512
1790417637.1397123,25985.412986905,73209652,1107694432,1362753,512
1790417638.1401641,25986.41343885,73209652,1108612640,1363748,512
1790417639.1404688,25987.413743164,73209652,1109531872,1364748,512
1790417640.1408894,25988.414163626,73209652,1110449072,1365741,512
1790417641.141249,25989.414524241,73209652,1111364920,1366734,512
1790417642.1415129,25990.414787278,73209652,1112282192,1367728,512
1790417643.141932,25991.41520718,73209652,1113199880,1368724,512
1790417644.2548037,25992.528078769,73209652,1114219464,1369828,512
1790417645.3784366,25993.651711851,73209652,1115252048,1370945,512
1790417646.3787549,25994.652029238,73209652,1116169080,1371940,512
1790417647.392184,25995.665458668,73209652,1117096408,1372943,512
1790417648.392566,25996.665840601,73209652,1118013352,1373933,512
1790417649.392892,25997.666166271,73209652,1118931344,1374930,512
1790417650.393169,25998.666443712,73209652,1119848528,1375922,512
1790417651.3935735,25999.666848611,73209652,1120766216,1376917,512
1790417652.393861,26000.667136216,73209652,1121681864,1377912,512
1790417653.3941805,26001.66745579,73209652,1122601256,1378910,512
1790417654.394523,26002.667797263,73209652,1123516904,1379900,512
1790417655.3948603,26003.668134618,73209652,1124433952,1380896,512
1790417656.4451487,26004.718423263,73209652,1125398416,1381941,512
1790417657.445376,26005.718650318,73209652,1126315600,1382934,512
1790417658.4456303,26006.718904955,73209652,1127231952,1383926,512
1790417659.4458768,26007.719150991,73209652,1128150144,1384921,512
1790417660.4461486,26008.719423345,73209652,1129066000,1385914,512
1790417661.4464445,26009.719719237,73209652,1129982312,1386905,512
1790417662.4468515,26010.720125964,73209652,1130901744,1387904,512
1790417663.4471343,26011.720408679,73209652,1131818584,1388896,512
1790417664.4473782,26012.720652469,73209652,1132737232,1389892,512
1790417665.447607,26013.720881641,73209652,1133653048,1390887,512
1790417666.4478703,26014.721145194,73209652,1134569720,1391880,512
1790417667.448173,26015.72144769,73209652,1135487008,1392874,512
1790417668.448439,26016.721713449,73209652,1136404704,1393871,512
1790417669.4486842,26017.721959313,73209652,1137320200,1394863,512
1790417670.5074039,26018.780678535,73209652,1138292472,1395917,512
1790417671.507814,26019.781089005,73209652,1139209808,1396909,512
1790417672.508051,26020.781325059,73209652,1140128104,1397905,512
1790417673.5084145,26021.78168891,73209652,1141042720,1398898,512
1790417674.5087862,26022.782061384,73209652,1141960416,1399894,512
1790417675.5091205,26023.782395358,73209652,1142878312,1400891,512
1790417676.5094385,26024.782713666,73209652,1143794816,1401885,512
1790417677.509863,26025.783137964,73209652,1144712280,1402877,512
1790417678.5103352,26026.783610192,73209652,1145632016,1403876,512
1790417679.5106742,26027.783949183,73209652,1146548320,1404872,512
1790417680.5110323,26028.784307275,73209652,1147464048,1405862,512
1790417681.511346,26029.784621037,73209652,1148381400,1406857,512
1790417682.5116704,26030.784945308,73209652,1149298328,1407849,512
1790417683.5121045,26031.785379651,73209652,1150215520,1408848,512
1790417684.5124314,26032.785706459,73209652,1151134232,1409845,512
1790417685.512783,26033.786058076,73209652,1152050904,1410840,512
1790417686.5130875,26034.786362328,73209652,1152968800,1411837,512
1790417687.5134113,26035.786686122,73209652,1153885120,1412828,512
1790417688.5137696,26036.787044662,73209652,1154802320,1413823,512
1790417689.5141313,26037.787406066,73209652,1155722064,1414821,512
1790417690.5144773,26038.787752196,73209652,1156636696,1415812,512
1790417691.5148082,26039.788083163,73209652,1157554920,1416809,512
1790417692.5151467,26040.788421913,73209652,1158474016,1417806,512
1790417693.515573,26041.788848103,73209652,1159388920,1418800,512
1790417694.5159514,26042.789226253,73209652,1160306640,1419792,512
1790417695.5162363,26043.789511058,73209652,1161223320,1420788,512
1790417696.5165637,26044.789838403,73209652,1162141520,1421782,512
1790417697.5169065,26045.790181268,73209652,1163057696,1422777,512
1790417698.5172663,26046.790540786,73209652,1163974584,1423772,512
1790417699.5176601,26047.790935029,73209652,1164893304,1424767,512
1790417700.518128,26048.791402871,73209652,1165812032,1425763,512
1790417701.5185673,26049.791842319,73209652,1166728696,1426757,512
1790417702.5189245,26050.792199498,73209652,1167644904,1427751,512
1790417703.5192618,26051.792536987,73209652,1168561632,1428744,512
1790417704.5195894,26052.792864271,73209652,1169480072,1429736,512
1790417705.5199447,26053.793219849,73209652,1170396744,1430729,512
1790417706.5202484,26054.793523229,73209652,1171313368,1431725,512
1790417707.5205789,26055.793853906,73209652,1172231064,1432720,512
1790417708.5209792,26056.794254059,73209652,1173146024,1433714,512
1790417709.5212352,26057.794509981,73209652,1174066216,1434709,512
1790417710.5215158,26058.79479048,73209652,1174983544,1435695,512
1790417711.5219028,26059.795177991,73209652,1175899536,1436684,512
1790417712.522188,26060.795462836,73209652,1176818024,1437670,512
1790417713.522607,26061.795882491,73209652,1176923472,1437807,512
1790417714.523054,26062.796329156,73209652,1176923472,1437807,512
1790417715.5234163,26063.796691367,73209652,1176923768,1437811,512
1790417716.5238853,26064.79716097,73209652,1176923768,1437811,512
