step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
442,13.36,1.2989,913388,3.007,3.15,3.045,3.197
443,13.13,1.2135,909695,2.969,3.059,3.006,3.097
444,13.26,1.2525,914698,3.009,3.163,3.046,3.203
445,13.28,1.0325,913858,2.993,3.108,3.03,3.149
446,13.29,1.3098,911138,3.006,3.14,3.043,3.183
447,13.35,1.3031,910262,2.997,3.117,3.034,3.159
448,13.34,1.0283,916020,3.009,3.116,3.046,3.153
449,13.28,1.1216,916322,2.987,3.091,3.024,3.13
450,13.19,1.046,915482,2.973,3.043,3.01,3.079
451,13.3,1.0292,913081,2.98,3.037,3.016,3.075
452,13.21,1.1819,917284,2.984,3.095,3.021,3.132
453,13.34,1.0091,915644,3.04,3.239,3.078,3.282
454,13.34,0.9224,912131,3.027,3.245,3.064,3.288
455,13.21,1.2428,913200,2.997,3.182,3.033,3.221
456,13.22,1.2816,911211,3.007,3.153,3.045,3.196
457,13.24,0.8395,916599,3.028,3.117,3.065,3.153
458,13.24,1.11,916293,3.002,3.053,3.04,3.096
459,13.26,1.0052,915149,3.018,3.178,3.056,3.217
460,13.35,1.0177,916904,2.996,3.148,3.034,3.189
461,13.32,1.2716,912654,3.009,3.189,3.047,3.228
462,13.29,1.4607,916913,2.984,3.043,3.021,3.08
463,13.34,1.2596,915931,3.012,3.187,3.049,3.226
464,13.31,1.6449,915737,3.004,3.095,3.043,3.14
465,13.22,1.3992,912788,2.986,3.118,3.023,3.157
466,13.27,1.4809,910788,2.999,3.13,3.037,3.166
467,13.16,1.3201,914614,2.98,3.03,3.017,3.069
468,13.45,1.4807,911408,3.026,3.263,3.063,3.309
469,13.36,1.4038,912350,3.013,3.13,3.051,3.177
470,13.22,1.0019,915179,2.984,3.068,3.023,3.109
471,13.28,1.3008,911648,2.992,3.117,3.031,3.161
472,13.31,1.5085,915212,2.999,3.211,3.036,3.253
473,13.35,1.3948,919543,3.008,3.136,3.045,3.173
474,13.18,0.8706,916542,2.987,3.129,3.023,3.167
475,13.2,1.2735,911562,2.992,3.159,3.03,3.209
476,13.23,1.2889,913631,3.001,3.211,3.039,3.257
477,13.19,1.2116,914027,2.997,3.136,3.036,3.18
478,13.26,1.2107,915019,3.001,3.192,3.039,3.232
479,13.16,1.0966,916989,2.971,3.033,3.007,3.07
480,13.27,1.139,913329,2.988,3.041,3.024,3.078
481,13.21,1.1909,911370,2.996,3.069,3.034,3.108
482,13.42,1.354,913147,3.039,3.305,3.077,3.349
483,13.46,1.0929,912396,3.045,3.255,3.083,3.294
484,13.29,1.0728,910051,2.983,3.068,3.02,3.108
485,13.29,1.1458,907721,2.999,3.073,3.036,3.111
486,13.24,1.2376,910024,3.009,3.137,3.047,3.178
487,13.21,1.1159,910735,2.989,3.083,3.026,3.119
488,13.17,1.3429,915912,2.995,3.052,3.031,3.091
489,13.38,1.1935,913663,3.038,3.174,3.075,3.215
490,13.37,0.9969,912241,3.004,3.109,3.041,3.152
491,13.28,1.0969,916788,2.954,2.991,2.99,3.028
492,13.28,1.4754,912907,3.017,3.143,3.053,3.182
493,13.34,1.1845,912525,3.038,3.197,3.076,3.24
494,13.37,1.2427,912301,3.0,3.183,3.038,3.222
495,13.31,1.3521,912334,2.989,3.126,3.028,3.168
496,13.43,1.0859,910291,3.013,3.167,3.051,3.205
497,13.28,1.3384,912066,2.982,3.074,3.018,3.113
498,13.39,2.0684,915064,3.008,3.164,3.044,3.201
499,13.35,1.2457,909835,3.004,3.103,3.042,3.141
500,412.94,1.228,913830,2.998,3.16,3.036,3.199
501,13.41,1.0736,913227,3.056,3.191,3.097,3.237
502,13.02,1.0875,912136,2.984,3.108,3.022,3.147
503,13.09,1.0664,913444,3.009,3.167,3.048,3.211
504,13.13,1.1909,914068,3.022,3.126,3.059,3.165
505,13.22,1.2143,911336,3.041,3.191,3.079,3.232
