arm,split,condition,seed,steps,sum_reward,max_reward,success
baseline,validation,clean,100029,300,79.04367851562822,0.7825105363956479,False
robust,validation,clean,100029,300,132.09856171187656,0.8182098754183599,False
baseline,validation,clean,100030,300,5.809016092299542,0.02474798134532782,False
robust,validation,clean,100030,300,26.54437858275827,0.12308524574293582,False
baseline,validation,clean,100031,300,207.2269884667004,0.9403880674793548,False
robust,validation,clean,100031,300,170.01676863814086,0.9205802465764601,False
baseline,validation,delay,100000,300,176.03792438100663,0.9098897447182905,False
robust,validation,delay,100000,300,144.37845243268998,0.7943973609202121,False
baseline,validation,delay,100001,300,164.97534623242723,0.9788328747545255,False
robust,validation,delay,100001,300,162.98420317878538,0.9612396623933059,False
baseline,validation,delay,100002,300,237.22720000268632,0.9935122274378472,False
robust,validation,delay,100002,300,205.17373866575667,0.7975521982869552,False
baseline,validation,delay,100003,300,192.81192728729908,0.9996766882592277,False
robust,validation,delay,100003,300,200.67258434256593,0.8545683172134244,False
baseline,validation,delay,100004,300,16.419904240396587,0.36781679361908787,False
robust,validation,delay,100004,300,23.171513902678,0.3558933816078792,False
baseline,validation,delay,100005,300,117.98163293065272,0.8790604777823429,False
robust,validation,delay,100005,248,112.9945580828917,1.0,True
baseline,validation,delay,100006,221,96.36918361211043,1.0,True
robust,validation,delay,100006,300,0.45180936150569423,0.15292937751818347,False
baseline,validation,delay,100007,300,125.47660815597217,0.9659494811771528,False
robust,validation,delay,100007,300,197.86674410799674,0.9385598391391622,False
baseline,validation,delay,100008,300,81.70245572085555,0.3915329375502168,False
robust,validation,delay,100008,300,57.66430545651102,0.20409137045255876,False
baseline,validation,delay,100009,300,79.28397698227562,0.4443312147522063,False
robust,validation,delay,100009,300,3.9351591217011244,0.42154850595101784,False
baseline,validation,delay,100010,158,37.03060760966091,1.0,True
robust,validation,delay,100010,300,136.63701770403696,0.8883832805540309,False
baseline,validation,delay,100011,300,118.64592162609515,0.39548640542031716,False
robust,validation,delay,100011,300,118.50585485518941,0.5564225873458507,False
